model_id,model,source,scaler,encoder,bias_pre,tuning,bias_post,n_splits,eta,adversary_loss_weight,num_epochs,classifier_num_hidden_units,debias,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
GB014,gradient_boosting,classic,none,one-hot,none,none,calibrate_equalized_odds,3,,,,,,0.719009428590267,0.7535055640087185,0.8914627734370223,0.8161156513949374,-0.047114317114317,-0.0309489189457721,-0.0657361623002052,0.0024584859320102,-0.035582847553888,0.0101363624619576,0.018953979350922,0.0382885712167867,0.0080237593419265,0.1368815386814497,0.0713816778358472,0.1029141079616588,0.0959814126610427,0.1808347424281489
GB015,gradient_boosting,classic,none,one-hot,none,none,reject_option_classification,3,,,,,,0.709005412598227,0.8467829776698089,0.7128437450325862,0.7730963902513105,-0.0139363839363838,-0.0014417196359942,-0.073857264483048,-0.0060244996836708,0.0281897025861431,0.0482761544233017,0.0173031969395261,0.0691481810129063,0.0460886768737724,0.0200720147465781,0.057385763471098,0.0472205327068599,0.0477474477033026,0.028648407289427
GB016,gradient_boosting,classic,none,one-hot,none,random,none,3,,,,,,0.7500224775673878,0.7785422860533614,0.8986097355196069,0.8342299745744085,-0.0208149408149408,-0.0203845728254228,-0.0811341459411953,-0.0397514739608748,0.0148753792451218,0.0396429672485548,0.0249566785349212,0.0302039968659685,0.026290238289803,0.0277705596914502,0.0171169759123572,0.0405382791540769,0.0523292516313273,0.0230907417065313
GB017,gradient_boosting,classic,none,one-hot,none,random,calibrate_equalized_odds,3,,,,,,0.7340154525783268,0.7554495563420014,0.9172077326583764,0.8281682430583012,-0.068064498064498,-0.0468997243405743,-0.0596802031122427,-0.043813711340742,-0.053592964784232,0.017982632323629,0.0084844168771614,0.0402545115461417,0.0153813641368994,0.0520378076305952,0.0347174600445229,0.074818441902138,0.0359441187407941,0.0778730755413442
GB018,gradient_boosting,classic,none,one-hot,none,random,reject_option_classification,3,,,,,,0.7179904455353556,0.8656551436604941,0.7071090568944647,0.7760289040465613,-0.0047213647213647,0.0333199857504158,-0.0493744514716969,0.0274597369625042,0.028580221216046,0.0531999682872834,0.0057169403040608,0.0924285963024827,0.056480797094549,0.0270631295598648,0.0180499662240563,0.0400954551013623,0.0200146055107045,0.0133864380109063
LG019,logistic_regression,classic,none,one-hot,reweighing,none,none,3,,,,,,0.7420054785324247,0.7870235788113695,0.8657178142156683,0.8244966498744742,-0.0317682717682717,-0.0073737808774903,-0.0600189710405324,0.0061654706741128,-0.0065948733459898,0.0129150753277941,0.0085736080555586,0.0088461994268704,0.0086816509208354,0.0377632398928633,0.0182933859277002,0.0275415102475183,0.0527036057306246,0.0379723061077736
LG020,logistic_regression,classic,none,one-hot,reweighing,none,calibrate_equalized_odds,3,,,,,,0.7360054665443888,0.7725099635215905,0.8828729687098785,0.8239784534965259,-0.0471113071113071,-0.0167803465340559,-0.0532400016730386,0.0110159742994557,-0.0311750456865058,0.0056062784181011,0.0011984651496591,0.0128733416177057,0.0050787790575071,0.0292865677300711,0.0495793676228913,0.0528839888837371,0.0518816369621114,0.0452852467101978
LG021,logistic_regression,classic,none,one-hot,reweighing,none,reject_option_classification,3,,,,,,0.7039944135752519,0.8665080468947872,0.6828191677977085,0.763450716039214,-0.0317405517405517,0.0297660975112766,-0.0089065608465311,0.0600512755915579,-0.0133905337513537,0.0089313366902682,0.0179931725221969,0.0230211563262214,0.0101487565493052,0.0190495665072149,0.0410791316777771,0.0285729473597726,0.040500105643401,0.0189548752304666
LG022,logistic_regression,classic,none,one-hot,reweighing,random,none,3,,,,,,0.7410044775314236,0.7727495130129919,0.8928995023415625,0.8281912631527198,-0.0014442414442414,0.0079811178275292,-0.0733233111658101,-0.010901073572323,0.0291966315989839,0.0140588499962539,0.0090223427882408,0.0348800500624741,0.012582671469038,0.0641220955981241,0.029510435017164,0.0417471281250444,0.0935302171474012,0.0680031286706957
LG023,logistic_regression,classic,none,one-hot,reweighing,random,calibrate_equalized_odds,3,,,,,,0.7340034645423866,0.7620004255691989,0.9029015810131692,0.8259100296548141,-0.0039667639667639,0.0086755622719737,-0.0715257097052333,-0.014451527291289,0.0193288000577653,0.0067137469870483,0.013047829140119,0.0436416834481994,0.0102667385270107,0.0430743426619482,0.0516330972118331,0.0434941421236987,0.0913953604883692,0.0343715663387441
LG024,logistic_regression,classic,none,one-hot,reweighing,random,reject_option_classification,3,,,,,,0.7150024275772778,0.859507798246785,0.7142804739371263,0.7762449140145788,0.0084093184093183,0.0551740925467966,-0.0390588891314741,0.0416540924384555,0.0352317277526926,0.025611956230134,0.0423214118916706,0.0901847246167865,0.0375884448677489,0.0361952430805241,0.0421419583993157,0.0188233968091066,0.0546355504502804,0.0208116114396457
RF019,random_forest,classic,none,one-hot,reweighing,none,none,3,,,,,,0.7590135045224865,0.7767897591219146,0.9200261668072828,0.84229365045263,-0.0346841246841247,-0.0144957960639489,-0.0633097922891555,-0.0146455275611413,-0.009447852101346,0.0167650686926475,0.0040175473153035,0.0249926319539494,0.0126926746989366,0.039427128488449,0.0307935543678534,0.0466722491370586,0.0956339085740808,0.0608103006089457
RF020,random_forest,classic,none,one-hot,reweighing,none,calibrate_equalized_odds,3,,,,,,0.7309914705124285,0.7458306751727805,0.9357629336170108,0.8296283169173407,-0.098010528010528,-0.0368442809124337,-0.0271825374233292,0.0297562828595711,-0.1068422908790246,0.0073867529180992,0.0186345244727229,0.0298018827304169,0.0007953678336013,0.0576296291142384,0.0567608396662772,0.0718701325481812,0.0353394069508682,0.0878400802585836
